,election_district,registered_voters,voted_in_2016,ratio_voted
131,24052,964,507.0,0.5259336099585062
132,24053,1170,721.0,0.6162393162393163
133,24054,1196,697.0,0.5827759197324415
134,24055,1003,544.0,0.5423728813559322
135,24056,63,39.0,0.6190476190476191
136,24057,475,258.0,0.5431578947368421
137,24058,245,128.0,0.5224489795918368
138,24059,782,434.0,0.5549872122762148
139,24060,391,153.0,0.391304347826087
140,24061,690,429.0,0.6217391304347826
141,24062,975,607.0,0.6225641025641026
142,24063,827,425.0,0.5139056831922612
143,24064,763,361.0,0.47313237221494103
144,24065,800,344.0,0.43
145,24066,911,463.0,0.5082327113062569
146,24067,1045,516.0,0.4937799043062201
147,24068,1132,536.0,0.4734982332155477
148,24069,802,398.0,0.49625935162094764
149,24070,1058,503.0,0.47542533081285443
150,24071,1113,505.0,0.4537286612758311
151,24072,1079,550.0,0.5097312326227988
152,24073,1027,516.0,0.5024342745861733
153,24074,1105,544.0,0.49230769230769234
154,24075,1022,496.0,0.48532289628180036
155,24076,1070,579.0,0.5411214953271029
156,24077,1067,538.0,0.5042174320524836
157,24078,751,422.0,0.5619174434087882
158,24079,1068,576.0,0.5393258426966292
159,24084,898,604.0,0.6726057906458798
160,24085,964,509.0,0.5280082987551867
161,24086,599,317.0,0.5292153589315526
162,24087,919,464.0,0.5048966267682263
163,24088,743,375.0,0.5047106325706595
164,24089,766,539.0,0.7036553524804178
165,24090,531,336.0,0.632768361581921
166,24091,624,419.0,0.6714743589743589
167,25001,691,371.0,0.5369030390738061
168,25002,175,88.0,0.5028571428571429
169,25003,1072,601.0,0.5606343283582089
170,25004,948,535.0,0.5643459915611815
171,25005,197,109.0,0.5532994923857868
172,25006,898,447.0,0.4977728285077951
173,25007,893,486.0,0.5442329227323628
174,25008,1025,515.0,0.5024390243902439
175,25009,315,174.0,0.5523809523809524
176,25010,603,290.0,0.48092868988391374
177,25011,1070,574.0,0.5364485981308411
178,25012,985,569.0,0.5776649746192893
179,25013,1055,582.0,0.5516587677725119
180,25014,965,582.0,0.6031088082901555
181,25015,723,452.0,0.6251728907330567
182,25016,797,440.0,0.5520702634880803
183,25017,908,556.0,0.6123348017621145
184,25018,1020,571.0,0.5598039215686275
185,25019,1043,573.0,0.5493767976989453
186,25020,1062,625.0,0.588512241054614
187,25021,803,489.0,0.6089663760896638
188,25022,1183,614.0,0.5190194420963652
189,25023,587,293.0,0.4991482112436116
190,25024,1084,574.0,0.5295202952029521
191,25025,1116,624.0,0.5591397849462365
192,25026,151,80.0,0.5298013245033113
193,25027,943,511.0,0.5418875927889714
194,25028,1072,564.0,0.5261194029850746
195,25029,967,598.0,0.6184074457083765
196,25030,970,595.0,0.6134020618556701
197,25031,898,505.0,0.5623608017817372
198,25032,924,512.0,0.5541125541125541
199,25033,652,343.0,0.5260736196319018
200,25034,94,52.0,0.5531914893617021
201,25035,983,590.0,0.6002034587995931
202,25036,1124,647.0,0.5756227758007118
203,25037,1025,519.0,0.5063414634146342
204,25038,943,489.0,0.5185577942735949
205,25039,746,429.0,0.5750670241286864
206,25040,858,514.0,0.5990675990675991
207,25041,396,222.0,0.5606060606060606
208,25042,607,332.0,0.5469522240527183
209,25043,1101,607.0,0.5513169845594914
210,25044,1057,515.0,0.48722800378429515
211,25045,1068,455.0,0.42602996254681647
212,25046,1126,459.0,0.40763765541740676
213,25047,1034,468.0,0.4526112185686654
214,25048,983,401.0,0.40793489318413023
215,25049,1071,433.0,0.4042950513538749
216,25050,1106,441.0,0.3987341772151899
217,25051,1042,428.0,0.4107485604606526
218,25052,942,445.0,0.4723991507430998
219,25053,1129,580.0,0.5137289636846767
220,25054,918,494.0,0.5381263616557734
221,25055,976,446.0,0.4569672131147541
222,25056,888,368.0,0.4144144144144144
223,25057,912,430.0,0.47149122807017546
224,25058,1132,602.0,0.5318021201413428
